id,verbatimDate,date_conf,date_prob,date_agree,date_valid,verbatimLocality,loc_conf,loc_prob,loc_agree,loc_valid,ocr,n_queries,error
1709398,27 iv 2022,0.760729992209676,0.760729992209676,2.0,1.0,denmark,0.5788043717974901,0.7015810567242305,2.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
C.S.E.
COPENHAGNS
C.S.E. E.
M. D. Darby det. 2022
UNIVERSITET
JJS-DK29.4a
horse and",5,
1705937,1/8/1965,0.6891507643475708,0.6891507643475708,2.0,1.0,KØBENHAVNS,0.37207219420100823,0.6442808557593217,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Høssor
V.Sjælland
Denis
Rosme Kongstrup kl
18-2 1965 O.Martin
P. Bangsholt det.",5,
1705822,2017,0.30637345535893545,0.638943598245955,1.0,0.55,KØBENHAVNS,0.3263446706023043,0.5650989967139469,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Coll.
Gjøria
Schladte
god vel!
DASSCO
A 1 CM
NHD
1785422",5,
1742998,26-3-1996,0.4242887541347587,0.6061267916210838,1.0,1.0,Dania,0.16279057531344096,0.2806734057128293,2.0,0.4,"STATENS
NATURHISTORISKE
MUSEUM
COPENHAGNS
UNIVERSITET
aegeripcisford 03-3-1998 8000 Gønget Dania
Dania coll. Hans Gønget
DASSCO",5,
1728459,2014,0.2798548964525828,0.5836389915590883,1.0,0.55,COPENHAGNS,0.3042508711507069,0.5965703355896214,2.0,0.3,"STATENS
NATURHISTORISKE
MUSEUM
COPENHAGNS
UNIVERSITET
Min.
Lev.
DassCo
cm
1
2
3
4
5
6
7
8
9
10
11
12
13",5,
1707402,4/6/10,0.678941070419944,0.678941070419944,2.0,1.0,A. guisillens,0.09037369014153858,0.2531475914328812,1.0,0.3,"STATENS
NATURHISTORISKE
MUSEUM
COPENHAGNS
UNIVERSITET
A. guisillens
DasSCO
4/6 The Nebalus
1 cm
4
MH0
1797482",5,
1707293,4.5.1931,0.713520550178865,0.713520550178865,3.0,1.0,KØBENHAVNS,0.3554953608986878,0.6155763825085503,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Coll.
*Sondrup
DANIA
Haeg
HOEG (4.5.1931)
DasSCO
1 cm
4
NORD
178",5,
1744483,2013,0.4634813436997183,0.6766151002915595,2.0,0.55,copenhagen,0.4540049334682166,0.550309010264505,2.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Coll.
Hinge-
Schädte
gaard.
DassCo
cm
A
NWD
1744483",5,
1708366,9-5-1948,0.8266514149397962,0.8266514149397962,3.0,1.0,KØBENHAVNS,0.36531391508602856,0.6325782079411751,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Vannendep 9-5-1948
1819
Col. Schultz
DASSCO
1 cm
A
KPD
179835",5,
1705671,8.12.1985,0.4019045638332323,0.5741493769046176,1.0,1.0,KØBENHAVNS,0.33157126516241664,0.5741493769046176,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
KØBENHAVNS
UNIVERSITET
Coll.
8.12.1985
Schidde
DASSCO
1 cm
A
R090
1785571",5,
1706305,10-6-1997,0.8265953362803627,0.8265953362803627,2.0,1.0,KØBENHAVNS,0.33511511505979996,0.5802859135234631,1.0,0.75,"STATENS
NATURHISTORISKE
MUSEUM
ROTHOLME
KØBENHAVNS
Aphroditin haemathoi: dalis.
UNIVERSITET
17.04.10-6.1997
Roland S.
DASSCO",5,
